time realMass modelMass modelMassFirstDerivative massDeviation deviationOfMassDeviation massFirstDerivativeDeviation deviationOfMassFirstDerivativeDeviation massSecondDerivativeDeviation deviationOfMassSecondDerivativeDeviation integralPartOfThePower proportionalPartOfThePower differentialPartOfThePower powerDeviation power V_upper length meltLevelHeight radiusFromModelradiusFromReal radius
00:01:29 5.333799719900948 3.7609775530671423 0.03259694301391981 1.5728221668338054 -0.0684178020944497 -0.011402967015741616 -0.04786143911262597 -0.007976906518770996 -0.008054079771598468 -1.368356041888994E-4 -9.572287822525194E-5 -1.6108159543196937E-5 -2.4866664195734826E-4 0.0 0.0556 5.004 0.0 11.552778886484417 5.665545105780223 6.67
00:01:36 5.255523782874234 3.9565592111506613 0.03259694301391981 1.2989645717235727 -0.27385759511023267 -0.04564293251837211 -0.0342399655026305 -0.0057066609171050825 0.002270245601665913 -5.477151902204653E-4 -6.8479931005261E-5 4.540491203331826E-6 -6.116546300223945E-4 0.0 0.0556 5.337599999999999 0.0 11.552778886484417 1.0443095406038732 6.67
00:01:41 5.794373988243911 4.15214086923418 0.03259694301391981 1.642233119009731 0.3432685472861583 0.05721142454769305 0.10285435706606516 0.017142392844344195 0.022849053761449276 6.865370945723166E-4 2.0570871413213033E-4 4.569810752289855E-5 9.379439162273455E-4 0.0 0.0556 5.671199999999999 0.0 11.552778886484402 11.339213852597307 6.67
00:01:48 6.318803639340787 4.347722527317699 0.03259694301391981 1.9710811120230884 0.32884799301335743 0.05480799883555957 -0.002403425712133478 -4.005709520222463E-4 -0.01754296379636644 6.576959860267148E-4 -4.806851424266956E-6 -3.508592759273288E-5 6.17803207009715E-4 0.0 0.0556 6.004799999999999 0.0 11.552778886484417 11.769118541828792 6.67
00:01:54 6.056405361462787 4.543304185401218 0.03259694301391981 1.5131011760615687 -0.45797993596151976 -0.07632998932691996 -0.13113798816247954 -0.021856331360413258 -0.021455760408391013 -9.159598719230396E-4 -2.622759763249591E-4 -4.2911520816782025E-5 -0.0012211473690647806 0.0 0.0556 6.338399999999998 0.0 11.552778886484417 8.718523345464076 6.67
00:01:59 6.404043595217875 4.738885843484737 0.03259694301391981 1.6651577517331377 0.15205657567156905 0.025342762611928176 0.10167275193884814 0.01694545865647469 0.03880179001688795 3.041131513431381E-4 2.0334550387769628E-4 7.76035800337759E-5 5.850622352546103E-4 0.0 0.0556 6.671999999999998 0.0 11.552778886484417 9.2407100352334 6.67
00:02:06 6.541229151116014 4.934467501568256 0.03259694301391981 1.6067616495477584 -0.058396102185379384 -0.00973268369756323 -0.03507544630949141 -0.005845907718248568 -0.02279136637472326 -1.1679220437075878E-4 -7.015089261898282E-5 -4.558273274944652E-5 -2.3252582973918814E-4 0.0 0.0556 7.005599999999998 0.0 11.552778886484417 2.4725594641970208 6.67
00:02:11 6.897076888182837 5.130049159651775 0.03259694301391981 1.7670277285310618 0.16026607898330347 0.026711013163883912 0.03644369686144714 0.0060739494769078564 0.011919857195156425 3.2053215796660697E-4 7.288739372289429E-5 2.383971439031285E-5 4.172592660798141E-4 0.0 0.0556 7.339199999999997 0.0 11.552778886484417 9.852881975754812 6.67
00:02:17 6.975021345460308 5.325630817735294 0.03259694301391981 1.6493905277250143 -0.11763720080604756 -0.01960620013434126 -0.04631721329822518 -0.007719535549704196 -0.013793485026612052 -2.352744016120951E-4 -9.263442659645035E-5 -2.7586970053224105E-5 -3.554957982617696E-4 0.0 0.0556 7.672799999999997 0.0 11.552778886484417 2.5690851894845212 6.67
00:02:23 7.075553385888859 5.521212475818813 0.03259694301391981 1.5543409100700458 -0.09504961765496844 -0.015841602942494742 0.0037645971918465193 6.274328653077532E-4 0.008346968415011948 -1.900992353099369E-4 7.5291943836930384E-6 1.6693936830023897E-5 -1.6587610409621995E-4 0.0 0.0556 8.006399999999998 0.0 11.552778886484417 7.76002172936331 6.67
